iteration,energy
0,-9.6553596657
1,-9.7746256800
2,-10.0024721363
3,-9.2661003394
4,-10.4572344740
5,-10.0618666907
6,-10.4494607843
7,-9.7577839357
8,-10.0042040165
9,-10.4086868800
10,-10.7648491135
11,-10.9324926979
12,-10.8372749896
13,-11.0163222826
14,-11.1569487245
15,-12.2183379959
16,-11.4241718205
17,-11.8589566054
18,-12.0127426080
19,-11.8412485973
20,-11.9012083595
21,-11.5707502901
22,-11.6370067027
23,-11.6556757623
24,-11.7526009111
25,-11.8234772523
26,-12.1135641406
27,-12.2599276571
28,-11.7118147347
29,-12.0392735261
30,-11.5433427640
31,-12.1327633077
32,-11.9294419420
33,-11.8711454473
34,-11.8840646694
35,-11.9172238280
36,-12.1725668728
37,-11.9884142389
38,-11.9644105320
39,-11.9766309560
40,-11.9865475541
41,-12.0208466891
42,-12.2202233454
43,-12.2244366585
44,-12.1864195644
45,-12.3920816225
46,-11.9545959876
47,-12.2322637751
48,-12.0155117279
49,-11.9416189612
50,-12.3247195696
51,-12.1234886260
52,-12.4915857105
53,-11.9033585451
54,-12.2013615924
55,-12.1240582758
56,-12.0962735772
57,-12.1367664314
58,-12.1067393528
59,-12.2929971787
60,-12.2383181598
61,-12.2470538105
62,-11.9605882931
63,-12.3197710227
64,-12.3993732249
65,-12.2794010460
66,-11.9805454740
67,-11.8556457059
68,-12.1253607943
69,-12.2991466698
70,-12.1799116408
71,-12.2954405778
72,-12.3011982922
73,-12.1228405399
74,-12.1407837403
75,-12.1901437730
76,-12.0276485456
77,-12.3182310179
78,-12.1005289750
79,-12.3707139330
80,-12.2371327841
81,-12.2936608282
82,-12.3330778840
83,-12.1544431268
84,-12.2226279708
85,-12.2417872042
86,-12.3039059033
87,-12.2671218190
88,-12.2055454368
89,-12.1339836851
90,-12.2995465370
91,-12.3945547234
92,-12.4320118226
93,-12.3627930412
94,-12.3646478534
95,-12.1909018488
96,-12.1656907764
97,-12.1616754804
98,-12.3276009168
99,-12.3651119823
100,-12.3298754340
101,-12.3762926955
102,-12.3269827220
103,-12.3159980327
104,-12.1505760774
105,-12.4942244921
106,-12.3367166215
107,-12.3566420013
108,-12.4412493408
109,-12.3590834257
110,-12.2857554831
111,-12.4576964382
112,-12.2412755323
113,-12.2767964621
114,-12.1799142054
115,-12.2677163897
116,-12.3300213856
117,-12.3959424449
118,-12.3173671034
119,-12.4979081304
120,-12.0885738119
121,-12.3096024113
122,-12.3661075203
123,-12.2347687885
124,-12.4656972617
125,-12.3539301164
126,-12.2737823975
127,-12.3477797320
128,-12.2376160050
129,-12.2139443159
130,-12.3406389529
131,-12.2559497458
132,-12.3608447997
133,-12.3556295332
134,-12.3766715873
135,-12.4605221851
136,-12.3544522583
137,-12.2382943367
138,-12.2932234933
139,-12.2851214816
140,-12.3872334914
141,-12.3024219087
142,-12.2825569401
143,-12.3171113700
144,-12.4791237129
145,-12.2402111971
146,-12.3519338262
147,-12.3186945945
148,-12.3591876130
149,-12.3178253041
150,-12.2185475318
151,-12.1931048363
152,-12.2446719546
153,-12.4520879688
154,-12.3363979473
155,-12.2207962187
156,-12.3420464847
157,-12.2997450558
158,-12.2916419347
159,-12.5594522564
160,-12.2409073527
161,-12.4388955620
162,-12.4845073804
163,-12.3076493359
164,-12.3316928741
165,-12.2994909050
166,-12.2756010613
167,-12.2888504326
168,-12.3430954106
169,-12.3960817924
170,-12.3512069276
171,-12.1847130652
172,-12.4386665993
173,-12.2899010629
174,-12.2748060092
175,-12.4172472424
176,-12.2781381454
177,-12.3644282184
178,-12.2659233644
179,-12.3294208113
180,-12.2146710825
181,-12.3212797715
182,-12.2500766555
183,-12.3529350874
184,-12.2074477324
185,-12.3116702872
186,-12.2703091495
187,-12.3828259777
188,-12.3033220626
189,-12.3727720172
190,-12.3007332562
191,-12.3359461760
192,-12.2911779963
193,-12.2101290353
194,-12.4255302791
195,-12.3793897318
196,-12.4410207586
197,-12.3573836446
198,-12.3779978074
199,-12.3299570292
