iteration,energy
0,-8.1672098886
1,-7.8495263203
2,-7.8042722080
3,-7.7814113745
4,-7.8889929948
5,-7.8370604363
6,-8.1218214241
7,-8.0159382331
8,-8.6605182275
9,-8.4223499856
10,-8.9559177982
11,-8.1119673157
12,-8.6448727171
13,-8.4715832895
14,-8.7548513272
15,-8.8834930368
16,-8.9434219379
17,-9.0254666075
18,-8.9344197725
19,-8.9561198030
20,-9.4813604564
21,-9.2332658737
22,-9.4117975180
23,-9.2382833673
24,-9.4144603782
25,-9.4765507609
26,-9.2077284934
27,-9.8398220264
28,-9.7878477879
29,-9.6873682256
30,-9.5620301446
31,-9.7584615286
32,-9.6040913823
33,-9.6388951564
34,-9.6403581503
35,-9.5670019762
36,-9.6441654819
37,-9.6780235370
38,-9.7588770927
39,-9.3698222247
40,-9.6629128816
41,-9.7786653644
42,-9.6873760531
43,-9.8236245538
44,-9.7799106448
45,-9.7616340066
46,-9.9519279170
47,-9.7959267002
48,-9.7629033038
49,-9.6402940814
50,-9.7575547976
51,-9.8700227811
52,-9.8497582466
53,-9.9741120930
54,-9.7817463712
55,-9.6822094663
56,-9.6674281900
57,-9.6728936006
58,-9.6950079209
59,-9.8088020650
60,-9.8412893752
61,-9.7973362033
62,-9.8492308409
63,-9.9376875424
64,-9.7662308773
65,-9.7207200621
66,-9.8096787135
67,-9.7176263870
68,-9.8162736087
69,-9.7867622151
70,-9.8082277960
71,-9.7689273666
72,-9.6947583487
73,-9.7727918812
74,-9.8947477240
75,-9.8895707779
76,-9.7385439320
77,-9.7521323319
78,-9.8055990253
79,-9.6714400402
80,-9.7135565575
81,-9.8046560268
82,-9.7426672734
83,-9.8222520168
84,-9.8278811929
85,-9.8651774002
86,-9.8155836521
87,-9.7790410175
88,-9.8262060657
89,-9.7395207279
90,-9.8864032353
91,-9.8874685825
92,-9.7813868731
93,-9.8235195483
94,-9.7999948930
95,-9.8250965866
96,-9.8240994896
97,-9.8063292128
98,-9.7006155128
99,-9.9447882228
100,-9.8078137490
101,-9.7184001331
102,-9.8244761851
103,-9.8309074446
104,-9.8080918403
105,-9.8571352629
106,-9.8055090311
107,-9.7374696027
108,-9.6798256282
109,-9.8165953678
110,-9.7688544112
111,-9.8331475849
112,-9.8055979190
113,-9.8295157303
114,-9.8150171855
115,-9.7291567498
116,-9.8415571269
117,-9.7933566629
118,-9.7433352991
119,-9.7829261233
120,-9.8867691142
121,-9.8155110120
122,-9.8807300961
123,-9.7787756320
124,-9.8475565699
125,-9.7989495376
126,-9.8281807596
127,-9.7682460195
128,-9.8114414095
129,-9.8402647980
130,-9.8222223102
131,-9.7860187539
132,-9.8319886124
133,-9.8662522423
134,-9.8200375069
135,-9.8532218468
136,-9.8064075057
137,-9.7391874608
138,-9.7771618197
139,-9.8131257906
140,-9.8557007466
141,-9.8569720088
142,-9.8542421598
143,-9.8142514237
144,-9.8190000089
145,-9.7319253484
146,-9.8008819989
147,-9.8973162797
148,-9.8970697737
149,-9.8073909706
150,-9.8333062518
151,-9.7950926643
152,-9.8358910202
153,-9.8121863513
154,-9.8070018425
155,-9.8324952996
156,-9.8071945792
157,-9.8230311237
158,-9.8569861042
159,-9.8036878470
160,-9.8160560039
161,-9.8120267548
162,-9.8268299058
163,-9.8537976256
164,-9.8538834915
165,-9.8545340802
166,-9.8130247839
167,-9.7506248186
168,-9.8977357152
169,-9.8364214836
